source,date,author,text,topic
hackernews,2018-08-07T19:43:05Z,bumholio,Power Worth Less Than Zero Spreads as Green Energy Floods the Grid,green energy
hackernews,2021-06-02T07:47:15Z,ciconia,G7 nations committing billions more to fossil fuel than green energy,green energy
hackernews,2022-01-14T10:05:06Z,alok-g,"India's richest man pouring $80B into green energy, including new ventures",green energy
hackernews,2022-09-17T16:53:12Z,belter,Rapid Green Energy Transition Will Likely Result in Trillions of Net Savings,green energy
hackernews,2025-02-24T20:22:52Z,raphlinus,Closing the “green gap”: energy savings from the math of the landscape function,green energy
hackernews,2018-05-14T19:43:28Z,stoerfall,A free XMPP server powered by green energy and hosted in Germany,green energy
hackernews,2021-06-27T15:20:52Z,baybal2,Asia’s richest man Mukesh Ambani unveils $10B green energy push,green energy
hackernews,2022-11-09T14:55:10Z,geox,NYC jail complex to be restored into citywide green energy hub,green energy
hackernews,2019-05-12T20:23:07Z,Funes-,A free XMPP server powered with green energy,green energy
hackernews,2014-11-27T11:51:36Z,3eto,Scientists predict green energy revolution after new graphene discoveries,green energy
hackernews,2024-03-22T22:07:37Z,rsolva,Toxic rare earth mining industry at the heart of the green energy transition,green energy
hackernews,2019-05-09T19:15:02Z,hmhrex,Transparent Solar Panels Will Turn Windows into Green Energy Collectors,green energy
hackernews,2022-04-03T06:45:25Z,cribbles,Limits to green energy are becoming much clearer,green energy
hackernews,2022-02-27T06:49:34Z,tempestn,Putin might have just kick-started Europe’s green energy revolution,green energy
hackernews,2018-04-09T22:59:04Z,plg,Apple now runs on 100% green energy,green energy
hackernews,2023-05-18T22:35:14Z,voisin,Schwarzenegger: Environmentalists are delaying green energy revolution,green energy
hackernews,2011-12-18T16:04:10Z,DaniFong,How energy storage can make green energy economical,green energy
hackernews,2022-10-03T09:12:37Z,throwaway2037,I come bringing good news about hydrogen: The fourth big green energy technology,green energy
hackernews,2022-07-05T05:57:03Z,QuarkForMrMark,'Sand battery' could solve green energy's big problem,green energy
hackernews,2024-08-09T21:25:07Z,dredmorbius,'Massive disinformation campaign' is slowing global transition to green energy,green energy
hackernews,2018-08-07T19:43:05Z,bumholio,Power Worth Less Than Zero Spreads as Green Energy Floods the Grid,green energy
hackernews,2021-06-02T07:47:15Z,ciconia,G7 nations committing billions more to fossil fuel than green energy,green energy
hackernews,2022-01-14T10:05:06Z,alok-g,"India's richest man pouring $80B into green energy, including new ventures",green energy
hackernews,2022-09-17T16:53:12Z,belter,Rapid Green Energy Transition Will Likely Result in Trillions of Net Savings,green energy
hackernews,2025-02-24T20:22:52Z,raphlinus,Closing the “green gap”: energy savings from the math of the landscape function,green energy
hackernews,2018-05-14T19:43:28Z,stoerfall,A free XMPP server powered by green energy and hosted in Germany,green energy
hackernews,2021-06-27T15:20:52Z,baybal2,Asia’s richest man Mukesh Ambani unveils $10B green energy push,green energy
hackernews,2022-11-09T14:55:10Z,geox,NYC jail complex to be restored into citywide green energy hub,green energy
hackernews,2019-05-12T20:23:07Z,Funes-,A free XMPP server powered with green energy,green energy
hackernews,2014-11-27T11:51:36Z,3eto,Scientists predict green energy revolution after new graphene discoveries,green energy
hackernews,2024-03-22T22:07:37Z,rsolva,Toxic rare earth mining industry at the heart of the green energy transition,green energy
hackernews,2019-05-09T19:15:02Z,hmhrex,Transparent Solar Panels Will Turn Windows into Green Energy Collectors,green energy
hackernews,2022-04-03T06:45:25Z,cribbles,Limits to green energy are becoming much clearer,green energy
hackernews,2022-02-27T06:49:34Z,tempestn,Putin might have just kick-started Europe’s green energy revolution,green energy
hackernews,2018-04-09T22:59:04Z,plg,Apple now runs on 100% green energy,green energy
hackernews,2023-05-18T22:35:14Z,voisin,Schwarzenegger: Environmentalists are delaying green energy revolution,green energy
hackernews,2011-12-18T16:04:10Z,DaniFong,How energy storage can make green energy economical,green energy
hackernews,2022-10-03T09:12:37Z,throwaway2037,I come bringing good news about hydrogen: The fourth big green energy technology,green energy
hackernews,2022-07-05T05:57:03Z,QuarkForMrMark,'Sand battery' could solve green energy's big problem,green energy
hackernews,2024-08-09T21:25:07Z,dredmorbius,'Massive disinformation campaign' is slowing global transition to green energy,green energy
hackernews,2018-08-07T19:43:05Z,bumholio,Power Worth Less Than Zero Spreads as Green Energy Floods the Grid,green energy
hackernews,2021-06-02T07:47:15Z,ciconia,G7 nations committing billions more to fossil fuel than green energy,green energy
hackernews,2022-01-14T10:05:06Z,alok-g,"India's richest man pouring $80B into green energy, including new ventures",green energy
hackernews,2022-09-17T16:53:12Z,belter,Rapid Green Energy Transition Will Likely Result in Trillions of Net Savings,green energy
hackernews,2025-02-24T20:22:52Z,raphlinus,Closing the “green gap”: energy savings from the math of the landscape function,green energy
hackernews,2018-05-14T19:43:28Z,stoerfall,A free XMPP server powered by green energy and hosted in Germany,green energy
hackernews,2021-06-27T15:20:52Z,baybal2,Asia’s richest man Mukesh Ambani unveils $10B green energy push,green energy
hackernews,2022-11-09T14:55:10Z,geox,NYC jail complex to be restored into citywide green energy hub,green energy
hackernews,2019-05-12T20:23:07Z,Funes-,A free XMPP server powered with green energy,green energy
hackernews,2014-11-27T11:51:36Z,3eto,Scientists predict green energy revolution after new graphene discoveries,green energy
hackernews,2024-03-22T22:07:37Z,rsolva,Toxic rare earth mining industry at the heart of the green energy transition,green energy
hackernews,2019-05-09T19:15:02Z,hmhrex,Transparent Solar Panels Will Turn Windows into Green Energy Collectors,green energy
hackernews,2022-04-03T06:45:25Z,cribbles,Limits to green energy are becoming much clearer,green energy
hackernews,2022-02-27T06:49:34Z,tempestn,Putin might have just kick-started Europe’s green energy revolution,green energy
hackernews,2018-04-09T22:59:04Z,plg,Apple now runs on 100% green energy,green energy
hackernews,2023-05-18T22:35:14Z,voisin,Schwarzenegger: Environmentalists are delaying green energy revolution,green energy
hackernews,2011-12-18T16:04:10Z,DaniFong,How energy storage can make green energy economical,green energy
hackernews,2022-10-03T09:12:37Z,throwaway2037,I come bringing good news about hydrogen: The fourth big green energy technology,green energy
hackernews,2022-07-05T05:57:03Z,QuarkForMrMark,'Sand battery' could solve green energy's big problem,green energy
hackernews,2024-08-09T21:25:07Z,dredmorbius,'Massive disinformation campaign' is slowing global transition to green energy,green energy
hackernews,2018-08-07T19:43:05Z,bumholio,Power Worth Less Than Zero Spreads as Green Energy Floods the Grid,green energy
hackernews,2021-06-02T07:47:15Z,ciconia,G7 nations committing billions more to fossil fuel than green energy,green energy
hackernews,2022-01-14T10:05:06Z,alok-g,"India's richest man pouring $80B into green energy, including new ventures",green energy
hackernews,2022-09-17T16:53:12Z,belter,Rapid Green Energy Transition Will Likely Result in Trillions of Net Savings,green energy
hackernews,2025-02-24T20:22:52Z,raphlinus,Closing the “green gap”: energy savings from the math of the landscape function,green energy
hackernews,2018-05-14T19:43:28Z,stoerfall,A free XMPP server powered by green energy and hosted in Germany,green energy
hackernews,2021-06-27T15:20:52Z,baybal2,Asia’s richest man Mukesh Ambani unveils $10B green energy push,green energy
hackernews,2022-11-09T14:55:10Z,geox,NYC jail complex to be restored into citywide green energy hub,green energy
hackernews,2019-05-12T20:23:07Z,Funes-,A free XMPP server powered with green energy,green energy
hackernews,2014-11-27T11:51:36Z,3eto,Scientists predict green energy revolution after new graphene discoveries,green energy
hackernews,2024-03-22T22:07:37Z,rsolva,Toxic rare earth mining industry at the heart of the green energy transition,green energy
hackernews,2019-05-09T19:15:02Z,hmhrex,Transparent Solar Panels Will Turn Windows into Green Energy Collectors,green energy
hackernews,2022-04-03T06:45:25Z,cribbles,Limits to green energy are becoming much clearer,green energy
hackernews,2022-02-27T06:49:34Z,tempestn,Putin might have just kick-started Europe’s green energy revolution,green energy
hackernews,2018-04-09T22:59:04Z,plg,Apple now runs on 100% green energy,green energy
hackernews,2023-05-18T22:35:14Z,voisin,Schwarzenegger: Environmentalists are delaying green energy revolution,green energy
hackernews,2011-12-18T16:04:10Z,DaniFong,How energy storage can make green energy economical,green energy
hackernews,2022-10-03T09:12:37Z,throwaway2037,I come bringing good news about hydrogen: The fourth big green energy technology,green energy
hackernews,2022-07-05T05:57:03Z,QuarkForMrMark,'Sand battery' could solve green energy's big problem,green energy
hackernews,2024-08-09T21:25:07Z,dredmorbius,'Massive disinformation campaign' is slowing global transition to green energy,green energy
hackernews,2018-08-07T19:43:05Z,bumholio,Power Worth Less Than Zero Spreads as Green Energy Floods the Grid,green energy
hackernews,2021-06-02T07:47:15Z,ciconia,G7 nations committing billions more to fossil fuel than green energy,green energy
hackernews,2022-01-14T10:05:06Z,alok-g,"India's richest man pouring $80B into green energy, including new ventures",green energy
hackernews,2022-09-17T16:53:12Z,belter,Rapid Green Energy Transition Will Likely Result in Trillions of Net Savings,green energy
hackernews,2025-02-24T20:22:52Z,raphlinus,Closing the “green gap”: energy savings from the math of the landscape function,green energy
hackernews,2018-05-14T19:43:28Z,stoerfall,A free XMPP server powered by green energy and hosted in Germany,green energy
hackernews,2021-06-27T15:20:52Z,baybal2,Asia’s richest man Mukesh Ambani unveils $10B green energy push,green energy
hackernews,2022-11-09T14:55:10Z,geox,NYC jail complex to be restored into citywide green energy hub,green energy
hackernews,2019-05-12T20:23:07Z,Funes-,A free XMPP server powered with green energy,green energy
hackernews,2014-11-27T11:51:36Z,3eto,Scientists predict green energy revolution after new graphene discoveries,green energy
hackernews,2024-03-22T22:07:37Z,rsolva,Toxic rare earth mining industry at the heart of the green energy transition,green energy
hackernews,2019-05-09T19:15:02Z,hmhrex,Transparent Solar Panels Will Turn Windows into Green Energy Collectors,green energy
hackernews,2022-04-03T06:45:25Z,cribbles,Limits to green energy are becoming much clearer,green energy
hackernews,2022-02-27T06:49:34Z,tempestn,Putin might have just kick-started Europe’s green energy revolution,green energy
hackernews,2018-04-09T22:59:04Z,plg,Apple now runs on 100% green energy,green energy
hackernews,2023-05-18T22:35:14Z,voisin,Schwarzenegger: Environmentalists are delaying green energy revolution,green energy
hackernews,2011-12-18T16:04:10Z,DaniFong,How energy storage can make green energy economical,green energy
hackernews,2022-10-03T09:12:37Z,throwaway2037,I come bringing good news about hydrogen: The fourth big green energy technology,green energy
hackernews,2022-07-05T05:57:03Z,QuarkForMrMark,'Sand battery' could solve green energy's big problem,green energy
hackernews,2024-08-09T21:25:07Z,dredmorbius,'Massive disinformation campaign' is slowing global transition to green energy,green energy
hackernews,2018-08-07T19:43:05Z,bumholio,Power Worth Less Than Zero Spreads as Green Energy Floods the Grid,green energy
hackernews,2021-06-02T07:47:15Z,ciconia,G7 nations committing billions more to fossil fuel than green energy,green energy
hackernews,2022-01-14T10:05:06Z,alok-g,"India's richest man pouring $80B into green energy, including new ventures",green energy
hackernews,2022-09-17T16:53:12Z,belter,Rapid Green Energy Transition Will Likely Result in Trillions of Net Savings,green energy
hackernews,2025-02-24T20:22:52Z,raphlinus,Closing the “green gap”: energy savings from the math of the landscape function,green energy
hackernews,2018-05-14T19:43:28Z,stoerfall,A free XMPP server powered by green energy and hosted in Germany,green energy
hackernews,2021-06-27T15:20:52Z,baybal2,Asia’s richest man Mukesh Ambani unveils $10B green energy push,green energy
hackernews,2022-11-09T14:55:10Z,geox,NYC jail complex to be restored into citywide green energy hub,green energy
hackernews,2019-05-12T20:23:07Z,Funes-,A free XMPP server powered with green energy,green energy
hackernews,2014-11-27T11:51:36Z,3eto,Scientists predict green energy revolution after new graphene discoveries,green energy
hackernews,2024-03-22T22:07:37Z,rsolva,Toxic rare earth mining industry at the heart of the green energy transition,green energy
hackernews,2019-05-09T19:15:02Z,hmhrex,Transparent Solar Panels Will Turn Windows into Green Energy Collectors,green energy
hackernews,2022-04-03T06:45:25Z,cribbles,Limits to green energy are becoming much clearer,green energy
