source,date,author,text,topic
hackernews,2023-06-06T03:52:32Z,dralley,The Nova Kakhovka Hydroelectric dam in Ukraine has been blown open,hydroelectric
hackernews,2021-02-13T13:25:45Z,ystad,Satellites Reveal Cause of Uttarakhand Flood That Devastated Hydroelectric Dams,hydroelectric
hackernews,2022-10-27T16:15:01Z,TeacherTortoise,Why is hydroelectricity unfashionable?,hydroelectric
hackernews,2024-06-30T00:52:29Z,luu,Pumped-storage hydroelectricity,hydroelectric
hackernews,2025-01-05T12:37:59Z,thelastgallon,The largest hydroelectric dam in the world has been approved,hydroelectric
hackernews,2023-05-27T17:54:10Z,DocFeind,Finland Electricity Prices Flip Negative After Glut of Hydroelectric Power,hydroelectric
hackernews,2009-04-09T19:44:17Z,jibiki,Kelvin's hydroelectric generator,hydroelectric
hackernews,2022-06-11T23:03:20Z,Hooke,Hydroelectricity and Engineered Climate Change in the Atlantropa Project (2016),hydroelectric
hackernews,2019-08-13T21:52:33Z,syllable_studio,Underground Pumped Hydroelectric Storage: A Feasibility Study,hydroelectric
hackernews,2022-01-22T18:28:29Z,simonebrunozzi,Build Your Own Twin-Turbine Mini Hydroelectric Dam in Your Garden,hydroelectric
hackernews,2024-08-26T10:31:53Z,lawn,Russia targeted the Kyiv hydroelectric dam,hydroelectric
hackernews,2019-02-20T13:33:49Z,nslater,"CrateDB, Machine Learning, and Hydroelectric Power: Part One",hydroelectric
hackernews,2019-08-20T13:06:40Z,nslater,"CrateDB, Machine Learning, and Hydroelectric Power: Part Two",hydroelectric
hackernews,2018-08-26T23:09:36Z,davidgerard,DPW restores hydroelectric plant in upstate NY for crypto mining,hydroelectric
hackernews,2022-04-01T13:29:26Z,prostoalex,Rural Hacker De-Crufts and Rebuilds Hydroelectric Generator,hydroelectric
hackernews,2021-10-08T11:48:36Z,zeristor,Water shortage threatens critical hydroelectric power supplies in N Europe,hydroelectric
hackernews,2025-01-20T13:07:48Z,rntn,Hydroelectric Dams in OR Kill Salmon. Congress Says It's Time to Shut Them Down,hydroelectric
hackernews,2020-10-29T13:02:07Z,sahin-boydas,Hydroelectric Bluetooth speaker is powered by the shower,hydroelectric
hackernews,2024-03-27T15:52:48Z,Brajeshwar,Hydroelectricity is a hidden source of methane emissions,hydroelectric
hackernews,2022-09-06T13:34:26Z,Vaslo,One in five fish dies from passing hydroelectric turbines,hydroelectric
hackernews,2023-06-06T03:52:32Z,dralley,The Nova Kakhovka Hydroelectric dam in Ukraine has been blown open,hydroelectric
hackernews,2021-02-13T13:25:45Z,ystad,Satellites Reveal Cause of Uttarakhand Flood That Devastated Hydroelectric Dams,hydroelectric
hackernews,2022-10-27T16:15:01Z,TeacherTortoise,Why is hydroelectricity unfashionable?,hydroelectric
hackernews,2024-06-30T00:52:29Z,luu,Pumped-storage hydroelectricity,hydroelectric
hackernews,2025-01-05T12:37:59Z,thelastgallon,The largest hydroelectric dam in the world has been approved,hydroelectric
hackernews,2023-05-27T17:54:10Z,DocFeind,Finland Electricity Prices Flip Negative After Glut of Hydroelectric Power,hydroelectric
hackernews,2009-04-09T19:44:17Z,jibiki,Kelvin's hydroelectric generator,hydroelectric
hackernews,2022-06-11T23:03:20Z,Hooke,Hydroelectricity and Engineered Climate Change in the Atlantropa Project (2016),hydroelectric
hackernews,2019-08-13T21:52:33Z,syllable_studio,Underground Pumped Hydroelectric Storage: A Feasibility Study,hydroelectric
hackernews,2022-01-22T18:28:29Z,simonebrunozzi,Build Your Own Twin-Turbine Mini Hydroelectric Dam in Your Garden,hydroelectric
hackernews,2024-08-26T10:31:53Z,lawn,Russia targeted the Kyiv hydroelectric dam,hydroelectric
hackernews,2019-02-20T13:33:49Z,nslater,"CrateDB, Machine Learning, and Hydroelectric Power: Part One",hydroelectric
hackernews,2019-08-20T13:06:40Z,nslater,"CrateDB, Machine Learning, and Hydroelectric Power: Part Two",hydroelectric
hackernews,2018-08-26T23:09:36Z,davidgerard,DPW restores hydroelectric plant in upstate NY for crypto mining,hydroelectric
hackernews,2022-04-01T13:29:26Z,prostoalex,Rural Hacker De-Crufts and Rebuilds Hydroelectric Generator,hydroelectric
hackernews,2021-10-08T11:48:36Z,zeristor,Water shortage threatens critical hydroelectric power supplies in N Europe,hydroelectric
hackernews,2025-01-20T13:07:48Z,rntn,Hydroelectric Dams in OR Kill Salmon. Congress Says It's Time to Shut Them Down,hydroelectric
hackernews,2020-10-29T13:02:07Z,sahin-boydas,Hydroelectric Bluetooth speaker is powered by the shower,hydroelectric
hackernews,2024-03-27T15:52:48Z,Brajeshwar,Hydroelectricity is a hidden source of methane emissions,hydroelectric
hackernews,2022-09-06T13:34:26Z,Vaslo,One in five fish dies from passing hydroelectric turbines,hydroelectric
hackernews,2023-06-06T03:52:32Z,dralley,The Nova Kakhovka Hydroelectric dam in Ukraine has been blown open,hydroelectric
hackernews,2021-02-13T13:25:45Z,ystad,Satellites Reveal Cause of Uttarakhand Flood That Devastated Hydroelectric Dams,hydroelectric
hackernews,2022-10-27T16:15:01Z,TeacherTortoise,Why is hydroelectricity unfashionable?,hydroelectric
hackernews,2024-06-30T00:52:29Z,luu,Pumped-storage hydroelectricity,hydroelectric
hackernews,2025-01-05T12:37:59Z,thelastgallon,The largest hydroelectric dam in the world has been approved,hydroelectric
hackernews,2023-05-27T17:54:10Z,DocFeind,Finland Electricity Prices Flip Negative After Glut of Hydroelectric Power,hydroelectric
hackernews,2009-04-09T19:44:17Z,jibiki,Kelvin's hydroelectric generator,hydroelectric
hackernews,2022-06-11T23:03:20Z,Hooke,Hydroelectricity and Engineered Climate Change in the Atlantropa Project (2016),hydroelectric
hackernews,2019-08-13T21:52:33Z,syllable_studio,Underground Pumped Hydroelectric Storage: A Feasibility Study,hydroelectric
hackernews,2022-01-22T18:28:29Z,simonebrunozzi,Build Your Own Twin-Turbine Mini Hydroelectric Dam in Your Garden,hydroelectric
hackernews,2024-08-26T10:31:53Z,lawn,Russia targeted the Kyiv hydroelectric dam,hydroelectric
hackernews,2019-02-20T13:33:49Z,nslater,"CrateDB, Machine Learning, and Hydroelectric Power: Part One",hydroelectric
hackernews,2019-08-20T13:06:40Z,nslater,"CrateDB, Machine Learning, and Hydroelectric Power: Part Two",hydroelectric
hackernews,2018-08-26T23:09:36Z,davidgerard,DPW restores hydroelectric plant in upstate NY for crypto mining,hydroelectric
hackernews,2022-04-01T13:29:26Z,prostoalex,Rural Hacker De-Crufts and Rebuilds Hydroelectric Generator,hydroelectric
hackernews,2021-10-08T11:48:36Z,zeristor,Water shortage threatens critical hydroelectric power supplies in N Europe,hydroelectric
hackernews,2025-01-20T13:07:48Z,rntn,Hydroelectric Dams in OR Kill Salmon. Congress Says It's Time to Shut Them Down,hydroelectric
hackernews,2020-10-29T13:02:07Z,sahin-boydas,Hydroelectric Bluetooth speaker is powered by the shower,hydroelectric
hackernews,2024-03-27T15:52:48Z,Brajeshwar,Hydroelectricity is a hidden source of methane emissions,hydroelectric
hackernews,2022-09-06T13:34:26Z,Vaslo,One in five fish dies from passing hydroelectric turbines,hydroelectric
hackernews,2023-06-06T03:52:32Z,dralley,The Nova Kakhovka Hydroelectric dam in Ukraine has been blown open,hydroelectric
hackernews,2021-02-13T13:25:45Z,ystad,Satellites Reveal Cause of Uttarakhand Flood That Devastated Hydroelectric Dams,hydroelectric
hackernews,2022-10-27T16:15:01Z,TeacherTortoise,Why is hydroelectricity unfashionable?,hydroelectric
hackernews,2024-06-30T00:52:29Z,luu,Pumped-storage hydroelectricity,hydroelectric
hackernews,2025-01-05T12:37:59Z,thelastgallon,The largest hydroelectric dam in the world has been approved,hydroelectric
hackernews,2023-05-27T17:54:10Z,DocFeind,Finland Electricity Prices Flip Negative After Glut of Hydroelectric Power,hydroelectric
hackernews,2009-04-09T19:44:17Z,jibiki,Kelvin's hydroelectric generator,hydroelectric
hackernews,2022-06-11T23:03:20Z,Hooke,Hydroelectricity and Engineered Climate Change in the Atlantropa Project (2016),hydroelectric
hackernews,2019-08-13T21:52:33Z,syllable_studio,Underground Pumped Hydroelectric Storage: A Feasibility Study,hydroelectric
