source,date,author,text,topic
hackernews,2016-12-06T14:31:40Z,danvoell,Google says it will run entirely on renewable energy in 2017,renewable energy
hackernews,2019-07-12T11:51:50Z,Biba89,Costa Rica has run on 100% renewable energy for 300 days,renewable energy
hackernews,2023-04-02T07:57:17Z,doener,"For the first time, renewable energy generation beat out coal in the US",renewable energy
hackernews,2018-04-10T03:51:08Z,iamspoilt,Apple says it’s now powered by renewable energy worldwide,renewable energy
hackernews,2013-03-21T17:06:28Z,robin_reala,Apple's Data Centers Now Running on 100% Renewable Energy,renewable energy
hackernews,2016-05-20T08:34:48Z,lucaspiller,Portugal runs for four days on renewable energy alone,renewable energy
hackernews,2019-09-29T15:45:09Z,elorant,Pre-built solar homes could make renewable energy almost 50% cheaper,renewable energy
hackernews,2023-09-30T18:46:01Z,belter,54% of Portugal’s electricity is now generated by renewable energy,renewable energy
hackernews,2017-03-30T09:45:24Z,ayanai,Eigg – A small Scottish isle that runs on 90-95% renewable energy,renewable energy
hackernews,2022-08-13T10:16:09Z,ingve,Researchers: World can reach 100% renewable energy system by/before 2050,renewable energy
hackernews,2023-07-05T11:04:30Z,mfld,Germany Achieves Record 57.7% Renewable Energy Share for First Half of 2023,renewable energy
hackernews,2019-07-27T02:02:46Z,stevewilhelm,Open source all-iron battery for renewable energy storage,renewable energy
hackernews,2019-11-19T15:19:10Z,redm,Heliogen’s new tech could unlock renewable energy for industrial manufacturing,renewable energy
hackernews,2015-02-23T08:31:07Z,FredericJ,Apple invests €1.7B in renewable energy data centres in Denmark and Ireland,renewable energy
hackernews,2024-06-18T17:31:49Z,Capstanlqc,Electricity prices in France turn negative as renewable energy floods the grid,renewable energy
hackernews,2020-01-08T21:41:51Z,fortran77,"To Store Renewable Energy, Try Freezing Air",renewable energy
hackernews,2021-09-06T14:49:14Z,AndrewDucker,Fallacies I have encountered when disccusing 100% renewable energy,renewable energy
hackernews,2021-03-17T07:07:16Z,todsacerdoti,Apple’s renewable energy projects are helping to create 1.2GW of clean power,renewable energy
hackernews,2016-11-14T12:55:49Z,binalpatel,"China, Japan, Russia, and South Korea Plan Renewable Energy Super Grid",renewable energy
hackernews,2015-12-20T00:28:41Z,ph0rque,99% of Costa Rica's electricity came from renewable energy in 2015,renewable energy
hackernews,2016-12-06T14:31:40Z,danvoell,Google says it will run entirely on renewable energy in 2017,renewable energy
hackernews,2019-07-12T11:51:50Z,Biba89,Costa Rica has run on 100% renewable energy for 300 days,renewable energy
hackernews,2023-04-02T07:57:17Z,doener,"For the first time, renewable energy generation beat out coal in the US",renewable energy
hackernews,2018-04-10T03:51:08Z,iamspoilt,Apple says it’s now powered by renewable energy worldwide,renewable energy
hackernews,2013-03-21T17:06:28Z,robin_reala,Apple's Data Centers Now Running on 100% Renewable Energy,renewable energy
hackernews,2016-05-20T08:34:48Z,lucaspiller,Portugal runs for four days on renewable energy alone,renewable energy
hackernews,2019-09-29T15:45:09Z,elorant,Pre-built solar homes could make renewable energy almost 50% cheaper,renewable energy
hackernews,2023-09-30T18:46:01Z,belter,54% of Portugal’s electricity is now generated by renewable energy,renewable energy
hackernews,2017-03-30T09:45:24Z,ayanai,Eigg – A small Scottish isle that runs on 90-95% renewable energy,renewable energy
hackernews,2022-08-13T10:16:09Z,ingve,Researchers: World can reach 100% renewable energy system by/before 2050,renewable energy
hackernews,2023-07-05T11:04:30Z,mfld,Germany Achieves Record 57.7% Renewable Energy Share for First Half of 2023,renewable energy
hackernews,2019-07-27T02:02:46Z,stevewilhelm,Open source all-iron battery for renewable energy storage,renewable energy
hackernews,2019-11-19T15:19:10Z,redm,Heliogen’s new tech could unlock renewable energy for industrial manufacturing,renewable energy
hackernews,2015-02-23T08:31:07Z,FredericJ,Apple invests €1.7B in renewable energy data centres in Denmark and Ireland,renewable energy
hackernews,2024-06-18T17:31:49Z,Capstanlqc,Electricity prices in France turn negative as renewable energy floods the grid,renewable energy
hackernews,2020-01-08T21:41:51Z,fortran77,"To Store Renewable Energy, Try Freezing Air",renewable energy
hackernews,2021-09-06T14:49:14Z,AndrewDucker,Fallacies I have encountered when disccusing 100% renewable energy,renewable energy
hackernews,2021-03-17T07:07:16Z,todsacerdoti,Apple’s renewable energy projects are helping to create 1.2GW of clean power,renewable energy
hackernews,2016-11-14T12:55:49Z,binalpatel,"China, Japan, Russia, and South Korea Plan Renewable Energy Super Grid",renewable energy
hackernews,2015-12-20T00:28:41Z,ph0rque,99% of Costa Rica's electricity came from renewable energy in 2015,renewable energy
hackernews,2016-12-06T14:31:40Z,danvoell,Google says it will run entirely on renewable energy in 2017,renewable energy
hackernews,2019-07-12T11:51:50Z,Biba89,Costa Rica has run on 100% renewable energy for 300 days,renewable energy
hackernews,2023-04-02T07:57:17Z,doener,"For the first time, renewable energy generation beat out coal in the US",renewable energy
hackernews,2018-04-10T03:51:08Z,iamspoilt,Apple says it’s now powered by renewable energy worldwide,renewable energy
hackernews,2013-03-21T17:06:28Z,robin_reala,Apple's Data Centers Now Running on 100% Renewable Energy,renewable energy
hackernews,2016-05-20T08:34:48Z,lucaspiller,Portugal runs for four days on renewable energy alone,renewable energy
hackernews,2019-09-29T15:45:09Z,elorant,Pre-built solar homes could make renewable energy almost 50% cheaper,renewable energy
hackernews,2023-09-30T18:46:01Z,belter,54% of Portugal’s electricity is now generated by renewable energy,renewable energy
hackernews,2017-03-30T09:45:24Z,ayanai,Eigg – A small Scottish isle that runs on 90-95% renewable energy,renewable energy
hackernews,2022-08-13T10:16:09Z,ingve,Researchers: World can reach 100% renewable energy system by/before 2050,renewable energy
hackernews,2023-07-05T11:04:30Z,mfld,Germany Achieves Record 57.7% Renewable Energy Share for First Half of 2023,renewable energy
hackernews,2019-07-27T02:02:46Z,stevewilhelm,Open source all-iron battery for renewable energy storage,renewable energy
hackernews,2019-11-19T15:19:10Z,redm,Heliogen’s new tech could unlock renewable energy for industrial manufacturing,renewable energy
hackernews,2015-02-23T08:31:07Z,FredericJ,Apple invests €1.7B in renewable energy data centres in Denmark and Ireland,renewable energy
hackernews,2024-06-18T17:31:49Z,Capstanlqc,Electricity prices in France turn negative as renewable energy floods the grid,renewable energy
hackernews,2020-01-08T21:41:51Z,fortran77,"To Store Renewable Energy, Try Freezing Air",renewable energy
hackernews,2021-09-06T14:49:14Z,AndrewDucker,Fallacies I have encountered when disccusing 100% renewable energy,renewable energy
hackernews,2021-03-17T07:07:16Z,todsacerdoti,Apple’s renewable energy projects are helping to create 1.2GW of clean power,renewable energy
hackernews,2016-11-14T12:55:49Z,binalpatel,"China, Japan, Russia, and South Korea Plan Renewable Energy Super Grid",renewable energy
hackernews,2015-12-20T00:28:41Z,ph0rque,99% of Costa Rica's electricity came from renewable energy in 2015,renewable energy
hackernews,2016-12-06T14:31:40Z,danvoell,Google says it will run entirely on renewable energy in 2017,renewable energy
hackernews,2019-07-12T11:51:50Z,Biba89,Costa Rica has run on 100% renewable energy for 300 days,renewable energy
hackernews,2023-04-02T07:57:17Z,doener,"For the first time, renewable energy generation beat out coal in the US",renewable energy
hackernews,2018-04-10T03:51:08Z,iamspoilt,Apple says it’s now powered by renewable energy worldwide,renewable energy
hackernews,2013-03-21T17:06:28Z,robin_reala,Apple's Data Centers Now Running on 100% Renewable Energy,renewable energy
hackernews,2016-05-20T08:34:48Z,lucaspiller,Portugal runs for four days on renewable energy alone,renewable energy
hackernews,2019-09-29T15:45:09Z,elorant,Pre-built solar homes could make renewable energy almost 50% cheaper,renewable energy
hackernews,2023-09-30T18:46:01Z,belter,54% of Portugal’s electricity is now generated by renewable energy,renewable energy
hackernews,2017-03-30T09:45:24Z,ayanai,Eigg – A small Scottish isle that runs on 90-95% renewable energy,renewable energy
hackernews,2022-08-13T10:16:09Z,ingve,Researchers: World can reach 100% renewable energy system by/before 2050,renewable energy
hackernews,2023-07-05T11:04:30Z,mfld,Germany Achieves Record 57.7% Renewable Energy Share for First Half of 2023,renewable energy
hackernews,2019-07-27T02:02:46Z,stevewilhelm,Open source all-iron battery for renewable energy storage,renewable energy
hackernews,2019-11-19T15:19:10Z,redm,Heliogen’s new tech could unlock renewable energy for industrial manufacturing,renewable energy
hackernews,2015-02-23T08:31:07Z,FredericJ,Apple invests €1.7B in renewable energy data centres in Denmark and Ireland,renewable energy
hackernews,2024-06-18T17:31:49Z,Capstanlqc,Electricity prices in France turn negative as renewable energy floods the grid,renewable energy
hackernews,2020-01-08T21:41:51Z,fortran77,"To Store Renewable Energy, Try Freezing Air",renewable energy
hackernews,2021-09-06T14:49:14Z,AndrewDucker,Fallacies I have encountered when disccusing 100% renewable energy,renewable energy
hackernews,2021-03-17T07:07:16Z,todsacerdoti,Apple’s renewable energy projects are helping to create 1.2GW of clean power,renewable energy
hackernews,2016-11-14T12:55:49Z,binalpatel,"China, Japan, Russia, and South Korea Plan Renewable Energy Super Grid",renewable energy
hackernews,2015-12-20T00:28:41Z,ph0rque,99% of Costa Rica's electricity came from renewable energy in 2015,renewable energy
hackernews,2016-12-06T14:31:40Z,danvoell,Google says it will run entirely on renewable energy in 2017,renewable energy
hackernews,2019-07-12T11:51:50Z,Biba89,Costa Rica has run on 100% renewable energy for 300 days,renewable energy
hackernews,2023-04-02T07:57:17Z,doener,"For the first time, renewable energy generation beat out coal in the US",renewable energy
hackernews,2018-04-10T03:51:08Z,iamspoilt,Apple says it’s now powered by renewable energy worldwide,renewable energy
hackernews,2013-03-21T17:06:28Z,robin_reala,Apple's Data Centers Now Running on 100% Renewable Energy,renewable energy
hackernews,2016-05-20T08:34:48Z,lucaspiller,Portugal runs for four days on renewable energy alone,renewable energy
hackernews,2019-09-29T15:45:09Z,elorant,Pre-built solar homes could make renewable energy almost 50% cheaper,renewable energy
hackernews,2023-09-30T18:46:01Z,belter,54% of Portugal’s electricity is now generated by renewable energy,renewable energy
hackernews,2017-03-30T09:45:24Z,ayanai,Eigg – A small Scottish isle that runs on 90-95% renewable energy,renewable energy
hackernews,2022-08-13T10:16:09Z,ingve,Researchers: World can reach 100% renewable energy system by/before 2050,renewable energy
hackernews,2023-07-05T11:04:30Z,mfld,Germany Achieves Record 57.7% Renewable Energy Share for First Half of 2023,renewable energy
