source,date,author,text,topic
hackernews,2015-03-17T20:41:42Z,krschultz,Google Makani – Wind Energy Kites,wind energy
hackernews,2017-09-04T16:53:47Z,ph0rque,"Wind Energy Is One of the Cheapest, and It's Getting Cheaper",wind energy
hackernews,2018-05-06T17:22:16Z,nopinsight,Researchers have developed a water-based battery to store solar and wind energy,wind energy
hackernews,2022-10-26T14:36:28Z,fairytalemtg,Rooftop wind energy innovation claims 50% more energy than solar at same cost,wind energy
hackernews,2017-09-16T22:31:38Z,kawera,Wind energy used to mine cryptocurrency to fund climate research,wind energy
hackernews,2025-02-24T17:49:58Z,nill0,"Student refines 100-year-old math problem, expanding wind energy possibilities",wind energy
hackernews,2010-07-18T20:54:06Z,miratrix,"Makani Power, a Google funded wind energy startup, comes out of stealth",wind energy
hackernews,2021-08-31T03:55:32Z,geox,More wind energy was installed in 2020 than any other energy source,wind energy
hackernews,2019-02-26T16:13:31Z,andreamichi,Machine learning can boost the value of wind energy,wind energy
hackernews,2019-11-30T00:50:51Z,PretzelFisch,"Study Finds Wind Speeds Are Increasing, Which Could Boost Wind Energy",wind energy
hackernews,2020-11-07T13:22:50Z,rustoo,"Policy, not tech, spurred Danish dominance in wind energy",wind energy
hackernews,2018-10-07T10:03:56Z,antr,A Massive Battery that Can Store Solar and Wind Energy,wind energy
hackernews,2022-08-12T13:05:48Z,rntn,"A new method boosts wind farms’ energy output, without new equipment",wind energy
hackernews,2022-04-25T23:17:05Z,prostoalex,European wind-energy sector hit in wave of hacks,wind energy
hackernews,2022-06-08T14:15:12Z,ddtaylor,Germany to Introduce Bill to Accelerate Wind Energy Expansion,wind energy
hackernews,2024-03-13T11:26:30Z,tlb,How the biggest plane would supersize wind energy,wind energy
hackernews,2020-04-27T07:44:41Z,xdze2,Ampyx Power: Wind energy systems using tethered wings above 200 meters,wind energy
hackernews,2017-10-30T20:16:21Z,ph0rque,America's Wind Energy Future Looks Seaward,wind energy
hackernews,2016-04-05T16:12:29Z,evo_9,"Solar and Wind Energy May Be Nice, but How Can We Store It?",wind energy
hackernews,2023-01-11T07:18:22Z,hannob,The Future Dominance of Solar and Wind Energy,wind energy
hackernews,2015-03-17T20:41:42Z,krschultz,Google Makani – Wind Energy Kites,wind energy
hackernews,2017-09-04T16:53:47Z,ph0rque,"Wind Energy Is One of the Cheapest, and It's Getting Cheaper",wind energy
hackernews,2018-05-06T17:22:16Z,nopinsight,Researchers have developed a water-based battery to store solar and wind energy,wind energy
hackernews,2022-10-26T14:36:28Z,fairytalemtg,Rooftop wind energy innovation claims 50% more energy than solar at same cost,wind energy
hackernews,2017-09-16T22:31:38Z,kawera,Wind energy used to mine cryptocurrency to fund climate research,wind energy
hackernews,2025-02-24T17:49:58Z,nill0,"Student refines 100-year-old math problem, expanding wind energy possibilities",wind energy
hackernews,2010-07-18T20:54:06Z,miratrix,"Makani Power, a Google funded wind energy startup, comes out of stealth",wind energy
hackernews,2021-08-31T03:55:32Z,geox,More wind energy was installed in 2020 than any other energy source,wind energy
hackernews,2019-02-26T16:13:31Z,andreamichi,Machine learning can boost the value of wind energy,wind energy
hackernews,2019-11-30T00:50:51Z,PretzelFisch,"Study Finds Wind Speeds Are Increasing, Which Could Boost Wind Energy",wind energy
hackernews,2020-11-07T13:22:50Z,rustoo,"Policy, not tech, spurred Danish dominance in wind energy",wind energy
hackernews,2018-10-07T10:03:56Z,antr,A Massive Battery that Can Store Solar and Wind Energy,wind energy
hackernews,2022-08-12T13:05:48Z,rntn,"A new method boosts wind farms’ energy output, without new equipment",wind energy
hackernews,2022-04-25T23:17:05Z,prostoalex,European wind-energy sector hit in wave of hacks,wind energy
hackernews,2022-06-08T14:15:12Z,ddtaylor,Germany to Introduce Bill to Accelerate Wind Energy Expansion,wind energy
hackernews,2024-03-13T11:26:30Z,tlb,How the biggest plane would supersize wind energy,wind energy
hackernews,2020-04-27T07:44:41Z,xdze2,Ampyx Power: Wind energy systems using tethered wings above 200 meters,wind energy
hackernews,2017-10-30T20:16:21Z,ph0rque,America's Wind Energy Future Looks Seaward,wind energy
hackernews,2016-04-05T16:12:29Z,evo_9,"Solar and Wind Energy May Be Nice, but How Can We Store It?",wind energy
hackernews,2023-01-11T07:18:22Z,hannob,The Future Dominance of Solar and Wind Energy,wind energy
hackernews,2015-03-17T20:41:42Z,krschultz,Google Makani – Wind Energy Kites,wind energy
hackernews,2017-09-04T16:53:47Z,ph0rque,"Wind Energy Is One of the Cheapest, and It's Getting Cheaper",wind energy
hackernews,2018-05-06T17:22:16Z,nopinsight,Researchers have developed a water-based battery to store solar and wind energy,wind energy
hackernews,2022-10-26T14:36:28Z,fairytalemtg,Rooftop wind energy innovation claims 50% more energy than solar at same cost,wind energy
hackernews,2017-09-16T22:31:38Z,kawera,Wind energy used to mine cryptocurrency to fund climate research,wind energy
hackernews,2025-02-24T17:49:58Z,nill0,"Student refines 100-year-old math problem, expanding wind energy possibilities",wind energy
hackernews,2010-07-18T20:54:06Z,miratrix,"Makani Power, a Google funded wind energy startup, comes out of stealth",wind energy
hackernews,2021-08-31T03:55:32Z,geox,More wind energy was installed in 2020 than any other energy source,wind energy
hackernews,2019-02-26T16:13:31Z,andreamichi,Machine learning can boost the value of wind energy,wind energy
hackernews,2019-11-30T00:50:51Z,PretzelFisch,"Study Finds Wind Speeds Are Increasing, Which Could Boost Wind Energy",wind energy
hackernews,2020-11-07T13:22:50Z,rustoo,"Policy, not tech, spurred Danish dominance in wind energy",wind energy
hackernews,2018-10-07T10:03:56Z,antr,A Massive Battery that Can Store Solar and Wind Energy,wind energy
hackernews,2022-08-12T13:05:48Z,rntn,"A new method boosts wind farms’ energy output, without new equipment",wind energy
hackernews,2022-04-25T23:17:05Z,prostoalex,European wind-energy sector hit in wave of hacks,wind energy
