source,date,author,text,topic
newsapi,2025-04-28T15:20:54Z,Gizmodo.com,"Massive Power Outage Is Causing Havoc in Portugal and Spain It may take a week for the network servicing both countries to be fully repaired. Meanwhile, millions are without power.",hydroelectric
newsapi,2025-05-19T11:16:00Z,Slashdot.org,"Danes Are Finally Going Nuclear. They Have To, Because of All Their Renewables ""The Danish government plans to evaluate the prospect of beginning a nuclear power programme,"" reports the Telegraph, noting that this week Denmark lifted a nuclear power ban imposed 40 years ago.


Unlike its neighbours in Sweden and Germany, Denmark has nev…",hydroelectric
newsapi,2025-05-20T20:18:38Z,Science Daily,"Does renewable energy reduce fossil fuel production in the US? Increasing renewable energy may not reduce the use of fossil fuels in the United States, according to a new study .",hydroelectric
newsapi,2025-05-05T15:00:00Z,Popular Science,"Poems spanning 1,400 years tell the tale of a revered porpoise Chinese scientists trace the Yangtze finless porpoise's history in Asia’s longest river–for conservation.
The post Poems spanning 1,400 years tell the tale of a revered porpoise appeared first on Popular Science.",hydroelectric
newsapi,2025-04-29T09:00:11Z,Designboom,"enel launches international contest ‘winDesign’ inviting creatives to imagine wind turbines the goal is to develop turbines that blend more seamlessly into the landscapes that host them, thereby supporting a wider role for them in the energy transition.
The post enel launches international contest ‘winDesign’ inviting creatives to imagine wind turbi…",hydroelectric
newsapi,2025-05-14T08:41:00Z,The Star Online,"Vital for stakeholders to support power generation efforts in Sabah, says Madius KOTA KINABALU: Sabah Electricity needs the cooperation from all stakeholders to support and not stop efforts to generate more power supply in the state. Read full story",hydroelectric
newsapi,2025-05-23T17:17:26Z,Substack.com,Into The Tunnel: The secret life of wind tunnels The secret life of wind tunnels,hydroelectric
newsapi,2025-05-22T14:59:00Z,GameSpot,"Call Of Duty Season 4 - All The New Black Ops 6 Multiplayer Maps, Including Fan-Favorite Remaster Season 4 approaches
Call of Duty's upcoming Season 4 update arrives on May 29, and like previous seasons, the new one adds more multiplayer maps for Black Ops 6.
For Season 4, one of the most exciting new additions is actually a returning map. The multiplay…",hydroelectric
newsapi,2025-04-28T19:24:09Z,Al Jazeera English,Power outage hits Spain and Portugal: What happened and what was affected? A blackout paralysed large parts of Spain and Portugal on Monday. Here is what we know.,hydroelectric
newsapi,2025-05-04T20:48:09Z,CBC News,"John Hogan is now N.L.'s premier-designate. The opposition wonders if it will mean change John Hogan will be Newfoundland and Labrador's 15th premier, and he says he will continue the work of former premier Andrew Furey. But opposition leaders remain concerned that new leadership will mean change.",hydroelectric
newsapi,2025-05-19T11:16:00Z,Slashdot.org,"Danes Are Finally Going Nuclear. They Have To, Because of All Their Renewables ""The Danish government plans to evaluate the prospect of beginning a nuclear power programme,"" reports the Telegraph, noting that this week Denmark lifted a nuclear power ban imposed 40 years ago.


Unlike its neighbours in Sweden and Germany, Denmark has nev…",hydroelectric
newsapi,2025-06-10T10:41:59Z,NPR,"Marines deployed to LA amid protests. And, drug deaths decline among young Americans Trump is deploying hundreds of Marines to LA in response to several nights of protests. State and local officials are concerned over the decision. And, drug deaths plummet among young Americans.",hydroelectric
newsapi,2025-05-20T20:18:38Z,Science Daily,"Does renewable energy reduce fossil fuel production in the US? Increasing renewable energy may not reduce the use of fossil fuels in the United States, according to a new study .",hydroelectric
newsapi,2025-05-23T17:17:26Z,Substack.com,Into The Tunnel: The secret life of wind tunnels The secret life of wind tunnels,hydroelectric
newsapi,2025-05-22T14:59:00Z,GameSpot,"Call Of Duty Season 4 - All The New Black Ops 6 Multiplayer Maps, Including Fan-Favorite Remaster Season 4 approaches
Call of Duty's upcoming Season 4 update arrives on May 29, and like previous seasons, the new one adds more multiplayer maps for Black Ops 6.
For Season 4, one of the most exciting new additions is actually a returning map. The multiplay…",hydroelectric
newsapi,2025-05-29T18:07:53Z,Vox,"The Supreme Court wants to make it easier to build The Supreme Court handed down an opinion on Thursday that reads like it was written by Ezra Klein and Derek Thompson, the authors of an influential book arguing that excessive regulation of land use and development has made it too difficult to build housing a…",hydroelectric
newsapi,2025-05-31T14:17:34Z,Forbes,"Billionaire Enrique Razon To Buy 60% Stake In Lopez Group’s Gas Assets For $896 Million Prime Infra will buy stakes in five existing gas-fired power plants and a sixth facility under construction with a combined capacity of 3,247 megawatts, along with an offshore liquefied natural gas terminal.",hydroelectric
newsapi,2025-06-13T17:30:00Z,ProPublica,"Trump Administration Abandons Deal With Northwest Tribes to Restore Salmon by Tony Schick, Oregon Public Broadcasting 
 

 
 This article was produced for ProPublica’s Local Reporting Network in partnership with Oregon Public Broadcasting. Sign up for Dispatches to get our stories in your inbox every week.

 

 
 
 



 
Less than t…",hydroelectric
newsapi,2025-06-13T19:40:01Z,Memeorandum.com,"Trump Administration Abandons Deal With Northwest Tribes to Restore Salmon (Tony Schick/ProPublica) Tony Schick / ProPublica:
Trump Administration Abandons Deal With Northwest Tribes to Restore Salmon  —  The Trump administration canceled a deal, signed under President Joe Biden, that would have enabled the removal of four hydroelectric dams along the Colum…",hydroelectric
newsapi,2025-05-28T14:00:00Z,Rolling Stone,"Wes Anderson’s ‘The Phoenician Scheme’ Is An Early Father’s Day Gift A story of a wealthy industrialist dad trotting the globe with his estranged daughter, the director's latest is part espionage thriller, part parenting comedy — and easily one of his best",hydroelectric
newsapi,2025-06-10T10:41:59Z,NPR,"Marines deployed to LA amid protests. And, drug deaths decline among young Americans Trump is deploying hundreds of Marines to LA in response to several nights of protests. State and local officials are concerned over the decision. And, drug deaths plummet among young Americans.",hydroelectric
newsapi,2025-05-20T20:18:38Z,Science Daily,"Does renewable energy reduce fossil fuel production in the US? Increasing renewable energy may not reduce the use of fossil fuels in the United States, according to a new study .",hydroelectric
newsapi,2025-06-19T22:50:52Z,Breitbart News,"Haiti’s Capital Blacked Out After Mob Storms Hydroelectric Plant to Protest Gang Violence A mob of angry Haitian citizens stormed a hydroelectric plant in the town of Mirebalais on Wednesday, plunging the capital city of Port-au-Prince into darkness, in an attempt to protest the lack of government action against gang violence.
The post Haiti’s Cap…",hydroelectric
newsapi,2025-05-23T17:17:26Z,Substack.com,Into The Tunnel: The secret life of wind tunnels The secret life of wind tunnels,hydroelectric
newsapi,2025-05-22T14:59:00Z,GameSpot,"Call Of Duty Season 4 - All The New Black Ops 6 Multiplayer Maps, Including Fan-Favorite Remaster Season 4 approaches
Call of Duty's upcoming Season 4 update arrives on May 29, and like previous seasons, the new one adds more multiplayer maps for Black Ops 6.
For Season 4, one of the most exciting new additions is actually a returning map. The multiplay…",hydroelectric
newsapi,2025-05-29T18:07:53Z,Vox,"The Supreme Court wants to make it easier to build The Supreme Court handed down an opinion on Thursday that reads like it was written by Ezra Klein and Derek Thompson, the authors of an influential book arguing that excessive regulation of land use and development has made it too difficult to build housing a…",hydroelectric
newsapi,2025-06-17T14:44:53Z,Worldconstructionnetwork.com,"Skanska lands Gjesdal Health Center construction contract in Norway The construction is set to begin in September 2025, with completion expected by June 2027.",hydroelectric
newsapi,2025-05-31T14:17:34Z,Forbes,"Billionaire Enrique Razon To Buy 60% Stake In Lopez Group’s Gas Assets For $896 Million Prime Infra will buy stakes in five existing gas-fired power plants and a sixth facility under construction with a combined capacity of 3,247 megawatts, along with an offshore liquefied natural gas terminal.",hydroelectric
newsapi,2025-06-13T17:30:00Z,ProPublica,"Trump Administration Abandons Deal With Northwest Tribes to Restore Salmon by Tony Schick, Oregon Public Broadcasting 
 

 
 This article was produced for ProPublica’s Local Reporting Network in partnership with Oregon Public Broadcasting. Sign up for Dispatches to get our stories in your inbox every week.

 

 
 
 



 
Less than t…",hydroelectric
newsapi,2025-06-18T11:56:26Z,Barchart.com,"FirstEnergy Stock: Is FE Underperforming the Utilities Sector? FirstEnergy has underperformed the Utilities sector over the past year, but analysts are cautiously optimistic about the stock’s prospects.",hydroelectric
newsapi,2025-06-10T10:41:59Z,NPR,"Marines deployed to LA amid protests. And, drug deaths decline among young Americans Trump is deploying hundreds of Marines to LA in response to several nights of protests. State and local officials are concerned over the decision. And, drug deaths plummet among young Americans.",hydroelectric
newsapi,2025-06-19T22:50:52Z,Breitbart News,"Haiti’s Capital Blacked Out After Mob Storms Hydroelectric Plant to Protest Gang Violence A mob of angry Haitian citizens stormed a hydroelectric plant in the town of Mirebalais on Wednesday, plunging the capital city of Port-au-Prince into darkness, in an attempt to protest the lack of government action against gang violence.
The post Haiti’s Cap…",hydroelectric
newsapi,2025-05-23T17:17:26Z,Substack.com,Into The Tunnel: The secret life of wind tunnels The secret life of wind tunnels,hydroelectric
newsapi,2025-05-29T18:07:53Z,Vox,"The Supreme Court wants to make it easier to build The Supreme Court handed down an opinion on Thursday that reads like it was written by Ezra Klein and Derek Thompson, the authors of an influential book arguing that excessive regulation of land use and development has made it too difficult to build housing a…",hydroelectric
newsapi,2025-06-17T14:44:53Z,Worldconstructionnetwork.com,"Skanska lands Gjesdal Health Center construction contract in Norway The construction is set to begin in September 2025, with completion expected by June 2027.",hydroelectric
newsapi,2025-05-31T14:17:34Z,Forbes,"Billionaire Enrique Razon To Buy 60% Stake In Lopez Group’s Gas Assets For $896 Million Prime Infra will buy stakes in five existing gas-fired power plants and a sixth facility under construction with a combined capacity of 3,247 megawatts, along with an offshore liquefied natural gas terminal.",hydroelectric
newsapi,2025-06-13T17:30:00Z,ProPublica,"Trump Administration Abandons Deal With Northwest Tribes to Restore Salmon by Tony Schick, Oregon Public Broadcasting 
 

 
 This article was produced for ProPublica’s Local Reporting Network in partnership with Oregon Public Broadcasting. Sign up for Dispatches to get our stories in your inbox every week.

 

 
 
 



 
Less than t…",hydroelectric
newsapi,2025-06-18T11:56:26Z,Barchart.com,"FirstEnergy Stock: Is FE Underperforming the Utilities Sector? FirstEnergy has underperformed the Utilities sector over the past year, but analysts are cautiously optimistic about the stock’s prospects.",hydroelectric
newsapi,2025-06-13T19:40:01Z,Memeorandum.com,"Trump Administration Abandons Deal With Northwest Tribes to Restore Salmon (Tony Schick/ProPublica) Tony Schick / ProPublica:
Trump Administration Abandons Deal With Northwest Tribes to Restore Salmon  —  The Trump administration canceled a deal, signed under President Joe Biden, that would have enabled the removal of four hydroelectric dams along the Colum…",hydroelectric
newsapi,2025-05-28T14:00:00Z,Rolling Stone,"Wes Anderson’s ‘The Phoenician Scheme’ Is An Early Father’s Day Gift A story of a wealthy industrialist dad trotting the globe with his estranged daughter, the director's latest is part espionage thriller, part parenting comedy — and easily one of his best",hydroelectric
newsapi,2025-06-10T10:41:59Z,NPR,"Marines deployed to LA amid protests. And, drug deaths decline among young Americans Trump is deploying hundreds of Marines to LA in response to several nights of protests. State and local officials are concerned over the decision. And, drug deaths plummet among young Americans.",hydroelectric
newsapi,2025-06-19T22:50:52Z,Breitbart News,"Haiti’s Capital Blacked Out After Mob Storms Hydroelectric Plant to Protest Gang Violence A mob of angry Haitian citizens stormed a hydroelectric plant in the town of Mirebalais on Wednesday, plunging the capital city of Port-au-Prince into darkness, in an attempt to protest the lack of government action against gang violence.
The post Haiti’s Cap…",hydroelectric
newsapi,2025-05-23T17:17:26Z,Substack.com,Into The Tunnel: The secret life of wind tunnels The secret life of wind tunnels,hydroelectric
newsapi,2025-05-29T18:07:53Z,Vox,"The Supreme Court wants to make it easier to build The Supreme Court handed down an opinion on Thursday that reads like it was written by Ezra Klein and Derek Thompson, the authors of an influential book arguing that excessive regulation of land use and development has made it too difficult to build housing a…",hydroelectric
newsapi,2025-06-17T14:44:53Z,Worldconstructionnetwork.com,"Skanska lands Gjesdal Health Center construction contract in Norway The construction is set to begin in September 2025, with completion expected by June 2027.",hydroelectric
newsapi,2025-05-31T14:17:34Z,Forbes,"Billionaire Enrique Razon To Buy 60% Stake In Lopez Group’s Gas Assets For $896 Million Prime Infra will buy stakes in five existing gas-fired power plants and a sixth facility under construction with a combined capacity of 3,247 megawatts, along with an offshore liquefied natural gas terminal.",hydroelectric
newsapi,2025-06-13T17:30:00Z,ProPublica,"Trump Administration Abandons Deal With Northwest Tribes to Restore Salmon by Tony Schick, Oregon Public Broadcasting 
 

 
 This article was produced for ProPublica’s Local Reporting Network in partnership with Oregon Public Broadcasting. Sign up for Dispatches to get our stories in your inbox every week.

 

 
 
 



 
Less than t…",hydroelectric
newsapi,2025-06-18T11:56:26Z,Barchart.com,"FirstEnergy Stock: Is FE Underperforming the Utilities Sector? FirstEnergy has underperformed the Utilities sector over the past year, but analysts are cautiously optimistic about the stock’s prospects.",hydroelectric
newsapi,2025-06-13T19:40:01Z,Memeorandum.com,"Trump Administration Abandons Deal With Northwest Tribes to Restore Salmon (Tony Schick/ProPublica) Tony Schick / ProPublica:
Trump Administration Abandons Deal With Northwest Tribes to Restore Salmon  —  The Trump administration canceled a deal, signed under President Joe Biden, that would have enabled the removal of four hydroelectric dams along the Colum…",hydroelectric
newsapi,2025-05-28T14:00:00Z,Rolling Stone,"Wes Anderson’s ‘The Phoenician Scheme’ Is An Early Father’s Day Gift A story of a wealthy industrialist dad trotting the globe with his estranged daughter, the director's latest is part espionage thriller, part parenting comedy — and easily one of his best",hydroelectric
newsapi,2025-06-10T10:41:59Z,NPR,"Marines deployed to LA amid protests. And, drug deaths decline among young Americans Trump is deploying hundreds of Marines to LA in response to several nights of protests. State and local officials are concerned over the decision. And, drug deaths plummet among young Americans.",hydroelectric
newsapi,2025-06-19T22:50:52Z,Breitbart News,"Haiti’s Capital Blacked Out After Mob Storms Hydroelectric Plant to Protest Gang Violence A mob of angry Haitian citizens stormed a hydroelectric plant in the town of Mirebalais on Wednesday, plunging the capital city of Port-au-Prince into darkness, in an attempt to protest the lack of government action against gang violence.
The post Haiti’s Cap…",hydroelectric
newsapi,2025-06-23T19:50:00Z,Gothamist,"Gov. Hochul wants to build new nuclear plant, 4 years after Indian Point closure The Indian Point power plant closed in 2021.
 

The Indian Point nuclear power plant was shut down due to environmental concerns. [ more › ]",hydroelectric
newsapi,2025-05-23T17:17:26Z,Substack.com,Into The Tunnel: The secret life of wind tunnels The secret life of wind tunnels,hydroelectric
newsapi,2025-05-29T18:07:53Z,Vox,"The Supreme Court wants to make it easier to build The Supreme Court handed down an opinion on Thursday that reads like it was written by Ezra Klein and Derek Thompson, the authors of an influential book arguing that excessive regulation of land use and development has made it too difficult to build housing a…",hydroelectric
newsapi,2025-06-17T14:44:53Z,Worldconstructionnetwork.com,"Skanska lands Gjesdal Health Center construction contract in Norway The construction is set to begin in September 2025, with completion expected by June 2027.",hydroelectric
