source,date,author,text,topic
newsapi,2025-05-02T21:13:17Z,The Verge,"Trump’s proposed budget deals another big blow to science, clean energy, and the environment President Donald Trump proposed drastic budget cuts today that could stymie green energy projects, gut environmental protections, and further hobble health and climate research in the US. Topline budget proposals released today for the 2026 fiscal year would …",renewable energy
newsapi,2025-05-17T00:04:09Z,The Verge,"Meta faces Democratic probe into plans to power a giant data center with gas Meta’s building a new AI data center so massive in Louisiana that the local utility company has plans to construct three new gas-fired power plants to provide it with enough electricity. Now, advocates and lawmakers are pressing Meta for answers about how it’…",renewable energy
newsapi,2025-05-05T19:23:21Z,The Verge,"States sue Trump over ‘existential threat’ to wind energy The District of Columbia and 17 states —  including New York, Arizona, Massachusetts, California, Colorado, and Illinois — sued the Trump administration Monday over its attempts to stop wind energy developments across the US.  The states argue that by signing…",renewable energy
newsapi,2025-05-05T08:17:01Z,Business Insider,"For GenZers working in clean energy, DOGE's cuts mean finding creative career pivots The upheaval in Washington, DC, has clouded Gen Zs career paths, particularly in the renewable energy industry as Trump slashes programs.",renewable energy
newsapi,2025-05-01T19:41:03Z,Wired,"What Caused the European Power Outage? There’s still no official explanation for the blackout in Spain, Portugal, and parts of southern France—but experts point to the makeup of the Iberian peninsula’s power grid.",renewable energy
newsapi,2025-04-25T11:00:06Z,Yahoo Entertainment,"New report exposes stunning shift that could reshape bitcoin mining: 'The composition ... has diversified over time' In 2011, only 20% of the industry's activities were powered by renewable energy.",renewable energy
newsapi,2025-05-19T11:16:00Z,Slashdot.org,"Danes Are Finally Going Nuclear. They Have To, Because of All Their Renewables ""The Danish government plans to evaluate the prospect of beginning a nuclear power programme,"" reports the Telegraph, noting that this week Denmark lifted a nuclear power ban imposed 40 years ago.


Unlike its neighbours in Sweden and Germany, Denmark has nev…",renewable energy
newsapi,2025-05-14T14:10:20Z,The Verge,"How Donald Trump blew the offshore wind industry off course Rewind a few years, and it looked as if offshore wind might take off in the US. The Biden administration moved to open up much of the nation's coastlines to development, blue and even a couple swing states agreed to work with the White House to speed things u…",renewable energy
newsapi,2025-05-02T20:45:00Z,Slashdot.org,"Eric Schmidt Apparently Bought Relativity Space To Put Data Centers in Orbit An anonymous reader shares a report: In the nearly two months since former Google chief executive Eric Schmidt acquired Relativity Space, the billionaire has not said much publicly about his plans for the launch company. However, his intentions for Relativity…",renewable energy
newsapi,2025-05-02T15:59:26Z,Time,Can Clean Energy Make Brazil an AI Superpower? Dozens of data centers are in development across Brazil as big tech companies like Amazon and Microsoft pour billions into the sector there.,renewable energy
