Horizon,SARIMAX,XGBoost,LSTM,Prophet
1,33.42990595967689,47.214443359375025,36.42480102539065,60.53458266781615
2,30.942197232189148,43.38945764253148,34.7777914513226,42.80441767840176
3,28.859122219662424,39.42345059116498,28.563812070623868,35.31027578990013
4,28.640057808165306,37.28789811298455,25.27176500638432,30.69331201395556
5,25.673577193497117,34.07265721449808,25.266924310532445,28.747767417828122
6,23.436711595287143,31.470255169178408,25.103914093335533,29.406688050844043
7,22.582886381887725,31.327147876523163,23.27658991640274,28.523052563562697
8,22.853068517953204,31.611859491950383,21.807907547877292,27.71856187734456
9,22.33717103896325,31.21117070747794,20.575962094781744,27.269585073727146
10,22.203963887303566,30.6928306710549,19.583478112173317,26.235451583701224
11,24.184754992243395,35.225100240113164,19.24668035299456,25.038150262747298
12,25.307976440483518,37.14112468317742,18.465021820140365,24.001620043534405
13,26.124735550090595,39.18314204766673,18.294035765130683,23.07585887033141
14,30.17154919606628,43.893205834190816,19.63374838797123,23.730730033411444
15,33.647186618085456,47.684571501893956,19.90229648709529,24.105555950535937
16,36.25648682006955,51.771556127826834,19.674575285690416,24.90982195439031
17,37.47587705025983,53.51659689413482,19.087376156868572,24.939618441517876
18,37.96184290150157,54.358249066088185,18.64291938367844,24.293567909632802
19,37.303047362963994,53.3090593889294,19.43807662538247,24.208874899664558
20,36.55004548904758,52.0026640719041,19.68217632725348,24.89300698459211
21,35.79047384437309,50.98080587240436,19.62846170014509,25.28027851278086
22,35.76996064958636,50.88494229863565,19.241738006023205,24.736446654833117
23,35.06317543704899,50.16713601530522,19.803554951967275,24.959586663030652
24,34.77144868789633,50.13146135616184,19.47190411416929,24.686478757774662
25,34.6227507082485,49.788647307355276,19.07878944135429,24.345254514398302
26,34.98658711191755,50.88683756953444,18.7240597283095,23.934390066274716
27,34.93309992755028,51.103597650330315,18.597722202192628,23.550488840268308
28,35.128446195282095,51.747860992868844,18.29393157057543,23.14794313245133
29,34.5180644224171,51.15503106840484,20.453751174600622,23.533317312128794
30,34.21015402646234,51.11637268986912,20.28962715669817,23.438501218256185
31,34.18770831826041,50.99849678677685,20.02343380766928,23.261555185326536
32,33.81907489770892,50.28576236787366,20.091759638361655,23.955452046969945
33,33.838334492503314,50.195600547381986,19.785370392370144,23.73482095670116
34,33.47840715264935,49.58094039067576,19.959895275073695,23.90262693607991
35,33.05167720927876,49.19117791762647,20.195952803991876,24.291216320456055
36,32.60258586608545,48.62042090782013,21.347268361455086,25.6529391403772
