Country,Population,Per capita GNI,Gross National Income(GNI) in USD,Gross Domestic Product (GDP),"Agriculture, hunting, forestry, fishing (ISIC A-B) (%)",Manufacturing (ISIC D) (%),"Mining, Manufacturing, Utilities (ISIC C-E) (%)",Other Activities (ISIC J-P) (%),"Transport, storage and communication (ISIC I) (%)","Wholesale, retail trade, restaurants and hotels (ISIC G-H) (%)",Construction (ISIC F) (%)
 Afghanistan ,37834278.6,490.2,18481469139.8,18260428364.6,26.64754959545874,6.607819850158434,10.311959659448263,35.43484608906511,8.84939267105412,10.947184673253908,3.026325775967662
 Albania ,2870362.0,5312.8,15245205295.2,15393981135.0,18.508809879738752,6.166922478822435,11.811473480800782,28.619392874161786,6.120101617235092,13.295114836451955,9.055506971036703
 Algeria ,42679711.2,3801.6,162000000000.0,165200000000.0,12.342519592251817,4.39324734661017,25.80859931234867,22.627621273002422,10.407717350847456,13.571407733050847,11.468403580992735
 Andorra ,76385.4,40827.8,3117875333.8,3117875333.8,0.5434264743147954,3.769345840289415,4.886301153494824,51.48958142092859,5.2580843442573695,21.6974520586587,6.753236927641266
 Angola ,32353601.8,2551.6,81616145100.2,86298213401.6,9.516977081993366,6.488812996557561,35.84959730583067,20.216043913461295,3.1527823007626194,20.462605188385737,10.503025123150406
 Anguilla ,15382.8,18595.0,285763999.4,308279259.6,1.5553478382624217,1.7987538983955702,4.676135403563815,37.55445395522806,7.213276958317957,26.028108119927506,8.317614825360115
 Antigua and Barbuda ,92149.0,15892.8,1463984577.0,1510601481.4,1.9298175037523833,2.4290054691323304,7.374545912450473,36.34750346538353,9.244441258628836,20.365888104046974,13.467139897907424
 Argentina ,44705308.8,10873.8,485200000000.0,498000000000.0,5.773002959558233,12.995999382289158,18.697098039317268,33.89558232931727,5.635208370963856,15.644972629598392,3.8416822346987947
 Armenia ,2821132.8,4628.6,13052232771.8,12821561494.0,12.543607713870236,11.490265861060807,19.09594207964261,33.476443381787675,6.424491431761019,12.83281192520871,6.709549407087217
 Aruba ,106193.0,27567.4,2927270445.6,3079929740.2,0.0263013597169719,3.440467274851506,4.489111605221936,44.9046577896998,7.924070137526964,26.341959337920358,4.866401679353478
 Australia ,25303574.8,56921.2,1444000000000.0,1480000000000.0,2.4491351887432433,5.595020876013514,18.567567567567565,48.945945945945944,6.544674673351351,9.891891891891893,7.222934265432432
